Wavelength,Exponent,0,10,20,30,40,50,60,70,78,86
300-302,14,0.07,0.07,0.06,0.04,0.03,0.01,0.00,0.00,0.00,0.00
302-304,14,0.18,0.18,0.15,0.12,0.08,0.04,0.01,0.00,0.00,0.00
304-306,14,0.33,0.32,0.29,0.23,0.16,0.09,0.04,0.01,0.00,0.00
306-308,14,0.51,0.49,0.45,0.37,0.28,0.17,0.08,0.02,0.00,0.00
308-310,14,0.66,0.65,0.60,0.51,0.40,0.27,0.14,0.04,0.01,0.00
310-312,14,0.99,0.97,0.90,0.79,0.64,0.45,0.25,0.09,0.02,0.00
312-314,14,1.22,1.19,1.12,1.00,0.82,0.61,0.36,0.14,0.04,0.00
314-316,14,1.37,1.34,1.27,1.14,0.96,0.73,0.46,0.20,0.06,0.01
316-318,14,1.67,1.64,1.56,1.42,1.22,0.95,0.62,0.29,0.10,0.01
318-320,14,1.70,1.68,1.60,1.47,1.27,1.01,0.69,0.34,0.13,0.02
320-325,14,5.30,5.24,5.03,4.66,4.10,3.34,2.36,1.27,0.52,0.10
325-330,14,7.72,7.63,7.36,6.88,6.15,5.12,3.75,2.15,0.96,0.22
330-335,14,8.26,8.17,7.91,7.44,6.70,5.65,4.23,2.50,1.16,0.29
335-340,14,7.98,7.91,7.67,7.24,6.56,5.59,4.25,2.58,1.23,0.33
340-345,14,8.64,8.57,8.32,7.88,7.17,6.15,4.73,2.91,1.40,0.38
345-350,14,8.73,8.65,8.42,7.99,7.30,6.30,4.88,3.04,1.47,0.40
350-355,14,10.00,9.92,9.67,9.20,8.43,7.31,5.71,3.60,1.76,0.47
355-360,14,8.98,8.91,8.69,8.28,7.62,6.64,5.22,3.33,1.64,0.43
360-365,14,9.97,9.90,9.67,9.23,8.52,7.46,5.91,3.80,1.88,0.49
365-370,15,1.24,1.23,1.20,1.15,1.07,0.94,0.75,0.48,0.24,0.06
370-375,15,1.10,1.09,1.07,1.02,0.95,0.84,0.67,0.44,0.22,0.06
375-380,15,1.26,1.25,1.22,1.17,1.09,0.97,0.78,0.52,0.26,0.07
380-385,15,1.06,1.06,1.04,1.00,0.93,0.82,0.67,0.45,0.23,0.06
385-390,15,1.17,1.16,1.14,1.10,1.03,0.92,0.75,0.50,0.26,0.06
390-395,15,1.17,1.17,1.14,1.10,1.03,0.92,0.76,0.51,0.27,0.07
395-400,15,1.43,1.42,1.40,1.35,1.26,1.13,0.93,0.64,0.33,0.08
400-405,15,2.02,2.01,1.98,1.91,1.79,1.61,1.33,0.91,0.48,0.12
405-410,15,1.97,1.96,1.92,1.86,1.75,1.57,1.30,0.90,0.48,0.12
410-415,15,2.06,2.04,2.01,1.94,1.83,1.65,1.37,0.96,0.51,0.12
415-420,15,2.09,2.08,2.05,1.98,1.87,1.69,1.14,0.99,0.54,0.13
420-430,15,4.13,4.11,4.04,3.92,3.70,3.36,2.82,2.00,1.09,0.26
430-440,15,4.26,4.24,4.18,4.05,3.84,3.50,2.96,2.12,1.17,0.28
440-450,15,5.05,5.03,4.96,4.82,4.57,4.18,3.56,2.58,1.45,0.34
450-460,15,5.66,5.64,5.56,5.39,5.12,4.67,3.98,2.90,1.65,0.38
460-470,15,5.75,5.72,5.64,5.48,5.21,4.77,4.08,3.00,1.72,0.39
470-480,15,5.86,5.83,5.75,5.60,5.32,4.89,4.19,3.10,1.80,0.41
480-490,15,5.74,5.72,5.64,5.49,5.23,4.81,4.14,3.08,1.80,0.40
490-500,15,5.94,5.91,5.83,5.68,5.42,5.00,4.31,3.22,1.90,0.42
500-510,15,6.10,6.07,5.99,5.82,5.54,5.09,4.38,3.27,1.92,0.42
510-520,15,5.98,5.95,5.87,5.71,5.44,5.00,4.32,3.24,1.92,0.41
520-530,15,6.20,6.17,6.09,5.92,5.64,5.20,4.49,3.37,2.00,0.42
530-540,15,6.38,6.38,6.27,6.10,5.81,5.35,4.63,3.48,2.07,0.42
540-550,15,6.37,6.34,6.26,6.10,5.81,5.35,4.63,3.49,2.08,0.42
550-560,15,6.55,6.52,6.43,6.26,5.96,5.49,4.74,3.57,2.13,0.43
560-570,15,6.61,6.58,6.49,6.31,6.01,5.53,4.78,3.59,2.13,0.41
570-580,15,6.69,6.66,6.57,6.39,6.09,5.60,4.84,3.64,2.17,0.41
580-600,16,1.35,1.34,1.32,1.29,1.23,1.13,0.98,0.74,0.45,0.09
600-620,16,1.36,1.35,1.34,1.30,1.24,1.14,0.99,0.75,0.46,0.09
620-640,16,1.37,1.37,1.35,1.31,1.26,1.16,1.01,0.78,0.48,0.10
640-660,16,1.38,1.37,1.35,1.32,1.26,1.17,1.02,0.79,0.50,0.11
660-680,16,1.43,1.42,1.40,1.37,1.31,1.21,1.06,0.83,0.53,0.12
680-700,16,1.40,1.40,1.38,1.34,1.28,1.19,1.05,0.82,0.54,0.12
